Y,X8,X9,X11,X14,X1_2,X1_3,X2_2,X2_3,X3_2,X3_3,X4_2,X4_3,X5_2,X5_3,X6_2,X6_3,X7_2,X7_3,X10_2,X10_3,X12_2,X12_3,X13_2,X13_3,X15_2,X15_3
12.08320998,-20.0,6,378,1042.8,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.4337536,32.9,0,595,83.55,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
11.65918125,45.4,0,210,134.29,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
15.44998929,29.0,26,1353,736.77,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.80539269,35.0,1,790,407.42,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.29172784,33.5,0,649,32.9,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
11.37744998,36.6,0,643,139.91,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.66242268,26.8,139,370,457.99,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14.81521124,44.2,0,1377,93.4,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
14.61394335,33.6,0,594,24.2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
12.46221929,38.5,1,912,302.97,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.56411998,35.7,0,910,35.21,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
14.89894335,-6.0,1,1364,294.1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.1787536,27.5,0,564,36.0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.2783,32.4,19,257,649.74,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
16.05090251,29.6,0,721,306.97,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
10.17527251,30.6,12,563,49.19,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.40721929,37.7,0,1399,49.98,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
13.89339269,32.6,31,377,382.67,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13.66103,34.0,0,841,42.46,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13.41221929,35.2,0,1042,8.97,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
12.24411998,43.4,0,684,62.92,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.75077998,33.2,1,753,110.18,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
13.65718125,20.8,0,731,310.84,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.42103,30.9,0,489,80.63,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
10.54411998,32.8,6,771,437.88,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
11.36411998,29.5,-50,659,90.71,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13.18911998,42.6,1,993,49.53,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
14.13945804,38.3,5,603,137.35,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13.6787536,26.0,0,457,58.15,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.73103,42.4,1,1054,131.65,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
12.97027269,41.4,34,327,905.2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
11.96103,27.4,47,747,350.07,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
