Y,X1,X2,X12,X15
12.08320998,16,7,6,6
12.4337536,19,14,11,5
11.65918125,12,14,8,5
15.44998929,21,2,10,11
12.80539269,11,11,8,4
12.29172784,23,13,10,10
11.37744998,16,12,8,10
12.66242268,22,2,9,2
14.81521124,24,14,7,13
14.61394335,13,53,10,55
12.46221929,21,7,7,11
12.56411998,16,4,57,14
14.89894335,13,61,9,5
12.1787536,19,3,7,5
12.2783,2,7,10,11
16.05090251,9,5,10,12
10.17527251,18,3,10,13
12.40721929,21,1,60,-42
13.89339269,11,13,9,4
13.66103,2,11,10,1
13.41221929,-29,3,11,8
12.24411998,16,8,8,14
12.75077998,66,5,9,10
13.65718125,12,5,10,10
12.42103,2,14,10,9
10.54411998,-34,8,9,64
11.36411998,16,4,7,14
13.18911998,16,5,10,60
14.13945804,14,2,10,1
13.6787536,19,13,9,13
12.73103,2,2,10,9
12.97027269,11,3,7,4
11.96103,2,2,9,1
12.07918125,12,8,8,3
12.31021124,24,5,57,13
12.07112804,14,5,7,9
11.89544892,17,2,7,9
12.02705999,4,3,8,-37
12.07411998,16,5,56,14
17.51221929,21,11,10,12
14.21672784,23,2,8,10
14.32308999,58,14,58,13
14.5237536,19,5,7,13
13.67918125,12,4,10,9
13.52897,5,3,9,8
14.33727784,23,13,9,10
12.12649929,21,3,7,8
13.63221929,21,5,10,10
13.8973236,19,5,6,13
12.23509804,7,7,7,15
13.53377892,17,13,9,9
10.9187536,19,2,10,13
13.85139269,11,7,9,4
11.57418125,12,14,8,3
13.05058999,8,13,7,13
12.99518125,-38,2,11,-49
11.35118125,12,-45,6,1
11.80009804,7,2,-39,15
13.18711998,16,57,7,12
13.20411998,16,6,7,1
12.27103,2,11,8,9
13.31259804,7,7,9,15
14.0823,55,3,9,-35
10.17609126,15,6,6,7
11.50103,2,14,10,15
13.24251335,13,2,10,5
12.03221929,21,14,7,11
14.51221929,21,-39,8,11
13.70411998,16,4,6,12
11.22897,5,7,8,11
16.05527251,18,8,8,12
9.589029996,2,7,6,15
9.354119983,16,4,6,10
11.44099125,12,14,7,9
16.28911998,16,7,10,6
12.85021124,24,14,7,13
11.65245,2,5,6,9
12.59996269,11,13,7,4
9.421619983,16,64,8,10
15.87911998,16,5,9,12
10.70021124,24,7,10,9
13.24887929,21,5,6,8
13.09897,5,5,8,10
14.62611998,16,5,9,12
12.58121929,21,13,8,15
13.24394335,13,3,60,5
